city,amap_uid,name,lng,lat,type,typecode,address,adname
大庆市,B01CB01M7S,色氏湿地人家度假村,124.514623,47.297343,风景名胜;风景名胜;省级景点,110203,三合乡南岗村鹤鸣湖风景区(西北角),林甸县
大庆市,B0LRLKLOKS,黎明湖沙滩特色市集,125.134762,46.588068,风景名胜;风景名胜相关;旅游景点,110000,发展路黎明湖(东南角),龙凤区
大庆市,B0G2MGXWSC,湿地粮仓(湿地福苑店),125.12674,46.523465,购物服务;综合市场;农副产品市场|风景名胜;风景名胜相关;旅游景点,060703|110000,湿地福苑凤华街15号,龙凤区
大庆市,B01CB0N6PA,滨湖广场,125.148649,46.621785,风景名胜;公园广场;城市广场,110105,滨洲湖,龙凤区
大庆市,B0K1UREH1M,长颈鹿磕头机,125.086516,46.584436,风景名胜;风景名胜;风景名胜,110200,中宝路88号,萨尔图区
大庆市,B0K17MTL1R,石油之光雕塑,125.040286,46.599804,风景名胜;风景名胜;风景名胜,110200,中七路230号,萨尔图区
大庆市,B0J3XZ609H,克尔台湖水岸渔村,124.250839,46.908127,风景名胜;风景名胜;风景名胜,110200,007县道南400米,杜尔伯特蒙古族自治县
大庆市,B0FFL6GPXI,街心公园,125.111795,46.525805,风景名胜;公园广场;公园,110101,龙七路与龙城街交叉口西140米,龙凤区
大庆市,B0FFKITK6H,鲨鱼湖,124.933175,46.600734,风景名胜;公园广场;公园,110101,,萨尔图区
大庆市,B0FFHW9Q0C,银沙湾生态旅游景区,124.082373,46.561233,风景名胜;风景名胜相关;旅游景点,110000,胡吉吐莫镇东吐莫村东北约2.3公里,杜尔伯特蒙古族自治县
大庆市,B0FFFTASUM,龙南中心绿地,124.899541,46.623808,风景名胜;公园广场;公园广场,110100,龙十路与明园街交叉口北160米,让胡路区
大庆市,B0FFFPJFWK,北国温泉,124.863798,47.176353,住宿服务;宾馆酒店;宾馆酒店|风景名胜;风景名胜相关;旅游景点,100100|110000,王仔温泉小镇庆丰街附近,林甸县
大庆市,B01CB0N9SA,怡山园,125.095796,46.60811,风景名胜;公园广场;公园,110101,纬十一路9号,萨尔图区
大庆市,B01CB016YJ,创业广场,124.840233,46.45115,风景名胜;公园广场;城市广场,110105,八百垧街道八百垧中路创业广场,红岗区
大庆市,B01CB00YCP,绿化园地,124.906551,46.402397,风景名胜;公园广场;公园,110101,,红岗区
大庆市,B0FFFA8CMN,善缘居,125.109559,45.529486,风景名胜;风景名胜相关;旅游景点,110000,明沈线,肇源县
大庆市,B01CB019TH,净业莲院,125.202868,46.564302,风景名胜;风景名胜;寺庙道观,110205,新发街1号,龙凤区
大庆市,B01CB00YCW,肇州县主题文化广场,125.263739,45.705352,风景名胜;公园广场;城市广场,110105,文化街与振兴路交叉口西200米,肇州县
大庆市,B0JGXU2BTY,慈悲喜舍(东风新村7区店),125.119217,46.585991,风景名胜;风景名胜相关;旅游景点|购物服务;购物相关场所;购物相关场所,110000|060000,纬二路97号,萨尔图区
大庆市,B01CB0NS3S,天星广场,124.871012,47.180738,风景名胜;公园广场;城市广场,110105,园林路与长盛街交叉口东120米,林甸县
大庆市,B0LKRD5VSD,画佗在室,124.867697,46.624909,风景名胜;风景名胜相关;旅游景点,110000,万达中心广场内圈商服hs-8-157/158号,让胡路区
大庆市,B0L0YM6FTG,五大连池(北冰花),125.10933,46.578735,风景名胜;风景名胜;风景名胜,110200,万兴路与万顺街交叉口东100米,萨尔图区
大庆市,B0KALAI4CF,湿地假山,125.185768,46.539102,风景名胜;风景名胜;风景名胜,110200,,龙凤区
大庆市,B0FFL3H72T,海青广场,125.259541,45.711327,风景名胜;公园广场;城市广场,110105,西环北路与庆丰街交叉口西北60米,肇州县
大庆市,B0FFJWGXIQ,方舟基督教堂,124.881464,46.606541,风景名胜;风景名胜;教堂,110206,,让胡路区
大庆市,B0FFI6G56B,林甸县鹤之海湿地温泉度假区,124.523865,47.301507,风景名胜;风景名胜相关;旅游景点,110000,鹤鸣湖镇胜利村鹤鸣湖收费站出口直行500米,林甸县
大庆市,B01CB0N8H0,圣爱堂,125.101994,46.606904,风景名胜;风景名胜;教堂,110206,东风街道经一街与纬九路交口,萨尔图区
牡丹江市,B0FFI333U3,莲华寺,129.814082,45.487212,风景名胜;风景名胜;寺庙道观,110205,莲花峰渡假区,林口县
牡丹江市,B0FFFSL8BM,主恩堂,129.615636,44.60309,风景名胜;风景名胜;教堂,110206,北安街新丹溪小区39号楼,爱民区
